SIMULATION RESULTS OBTAINED : 
 time=                   0 , clock=0 , reset=1 , req_floor=x , emergency=0 , IR_sensor=0 , overweight = 0 , up=x , down=x, idle=x , door=x , Emergency_stop=x , current_floor=x , min_request=x , max_request=x , requests=xx 
 time=              235000 , clock=1 , reset=0 , req_floor=6 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=1 , min_request=1 , max_request=6 , requests=40 
 time=              240000 , clock=0 , reset=0 , req_floor=6 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=1 , min_request=1 , max_request=6 , requests=40 
 time=              245000 , clock=1 , reset=0 , req_floor=6 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=0 , door=0 , Emergency_stop=0 , current_floor=1 , min_request=1 , max_request=6 , requests=40 
 time=              250000 , clock=0 , reset=0 , req_floor=6 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=0 , door=0 , Emergency_stop=0 , current_floor=1 , min_request=1 , max_request=6 , requests=40 
 time=              255000 , clock=1 , reset=0 , req_floor=6 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=0 , door=0 , Emergency_stop=0 , current_floor=2 , min_request=1 , max_request=6 , requests=40 
 time=              259000 , clock=1 , reset=0 , req_floor=7 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=0 , door=0 , Emergency_stop=0 , current_floor=2 , min_request=1 , max_request=7 , requests=c0 
 time=              260000 , clock=0 , reset=0 , req_floor=7 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=0 , door=0 , Emergency_stop=0 , current_floor=2 , min_request=1 , max_request=7 , requests=c0 
 time=              265000 , clock=1 , reset=0 , req_floor=7 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=0 , door=0 , Emergency_stop=0 , current_floor=3 , min_request=1 , max_request=7 , requests=c0 
 time=              270000 , clock=0 , reset=0 , req_floor=7 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=0 , door=0 , Emergency_stop=0 , current_floor=3 , min_request=1 , max_request=7 , requests=c0 
 time=              275000 , clock=1 , reset=0 , req_floor=7 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=0 , door=0 , Emergency_stop=0 , current_floor=4 , min_request=1 , max_request=7 , requests=c0 
 time=              280000 , clock=0 , reset=0 , req_floor=7 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=0 , door=0 , Emergency_stop=0 , current_floor=4 , min_request=1 , max_request=7 , requests=c0 
 time=              285000 , clock=1 , reset=0 , req_floor=7 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=0 , door=0 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=7 , requests=c0 
 time=              290000 , clock=0 , reset=0 , req_floor=7 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=0 , door=0 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=7 , requests=c0 
 time=              295000 , clock=1 , reset=0 , req_floor=7 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=1 , Emergency_stop=0 , current_floor=6 , min_request=1 , max_request=7 , requests=80 
 time=              300000 , clock=0 , reset=0 , req_floor=7 , emergency=0 , IR_sensor=0 , overweight = 1 , up=1 , down=0, idle=1 , door=1 , Emergency_stop=0 , current_floor=6 , min_request=1 , max_request=7 , requests=80 
 time=              305000 , clock=1 , reset=0 , req_floor=7 , emergency=0 , IR_sensor=0 , overweight = 1 , up=1 , down=0, idle=1 , door=1 , Emergency_stop=0 , current_floor=6 , min_request=1 , max_request=7 , requests=80 
 time=              309000 , clock=1 , reset=0 , req_floor=3 , emergency=0 , IR_sensor=0 , overweight = 1 , up=1 , down=0, idle=1 , door=1 , Emergency_stop=0 , current_floor=6 , min_request=3 , max_request=7 , requests=88 
 time=              310000 , clock=0 , reset=0 , req_floor=3 , emergency=0 , IR_sensor=0 , overweight = 1 , up=1 , down=0, idle=1 , door=1 , Emergency_stop=0 , current_floor=6 , min_request=3 , max_request=7 , requests=88 
 time=              315000 , clock=1 , reset=0 , req_floor=3 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=0 , door=0 , Emergency_stop=0 , current_floor=6 , min_request=3 , max_request=7 , requests=88 
 time=              320000 , clock=0 , reset=0 , req_floor=3 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=0 , door=0 , Emergency_stop=0 , current_floor=6 , min_request=3 , max_request=7 , requests=88 
 time=              325000 , clock=1 , reset=0 , req_floor=3 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=1 , Emergency_stop=0 , current_floor=7 , min_request=3 , max_request=7 , requests=08 
 time=              330000 , clock=0 , reset=0 , req_floor=3 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=1 , Emergency_stop=0 , current_floor=7 , min_request=3 , max_request=7 , requests=08 
 time=              335000 , clock=1 , reset=0 , req_floor=3 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=0 , door=0 , Emergency_stop=0 , current_floor=7 , min_request=3 , max_request=7 , requests=08 
 time=              340000 , clock=0 , reset=0 , req_floor=3 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=0 , door=0 , Emergency_stop=0 , current_floor=7 , min_request=3 , max_request=7 , requests=08 
 time=              345000 , clock=1 , reset=0 , req_floor=3 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=7 , min_request=3 , max_request=7 , requests=08 
 time=              350000 , clock=0 , reset=0 , req_floor=3 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=7 , min_request=3 , max_request=7 , requests=08 
 time=              355000 , clock=1 , reset=0 , req_floor=3 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=6 , min_request=3 , max_request=7 , requests=08 
 time=              359000 , clock=1 , reset=0 , req_floor=0 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=6 , min_request=0 , max_request=7 , requests=09 
 time=              360000 , clock=0 , reset=0 , req_floor=0 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=6 , min_request=0 , max_request=7 , requests=09 
 time=              365000 , clock=1 , reset=0 , req_floor=0 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=5 , min_request=0 , max_request=7 , requests=09 
 time=              370000 , clock=0 , reset=0 , req_floor=0 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=5 , min_request=0 , max_request=7 , requests=09 
 time=              375000 , clock=1 , reset=0 , req_floor=0 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=4 , min_request=0 , max_request=7 , requests=09 
